method,task,scenario,entry_point,scheduler_mode,wallclock_sec,streaming_accuracy,return_code,log_file,note
Ekya,soft_robot,ic,main.py,ekya,438,0.0938,0,ae_logs/tab3/softrobot_ekya_ic.log,
RECL,soft_robot,ic,main.py,recl_sched,671,0.0625,0,ae_logs/tab3/softrobot_recl_ic.log,
AOCL_basic (fully parallel),soft_robot,ic,main.py,fully_parallel,411,0.0469,0,ae_logs/tab3/softrobot_fp_ic.log,
AOCL (ours),soft_robot,ic,main.py,adaptocl,520,0.0573,0,ae_logs/tab3/softrobot_ours_ic.log,
Avalanche (sequential),soft_robot,il,test_avalanche_lib.py,-,9,,2,ae_logs/tab3/softrobot_vanilla_il.log,
Default Alternation (DA),soft_robot,il,main.py,default,721,0.5885,0,ae_logs/tab3/softrobot_da_il.log,
Ekya,soft_robot,il,main.py,ekya,409,0.474,0,ae_logs/tab3/softrobot_ekya_il.log,
RECL,soft_robot,il,main.py,recl_sched,601,0.5625,0,ae_logs/tab3/softrobot_recl_il.log,
AOCL_basic (fully parallel),soft_robot,il,main.py,fully_parallel,382,0.5885,0,ae_logs/tab3/softrobot_fp_il.log,
AOCL (ours),soft_robot,il,main.py,adaptocl,436,0.4271,0,ae_logs/tab3/softrobot_ours_il.log,
